Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
The author,seeks to crowdsource,a response for determining best practice.,The author,seeks to crowdsource,a response for determining best practice.,The author seeks to crowdsource a response for determining best practice.,599
The author,invites,readers to participate in a polling question.,The author,invites,readers to participate in a polling question.,The author invites readers to participate in a polling question.,600
The author,encourages readers to share,"their opinions in the comments section, regardless of agreement or disagreement.",The author,encourages readers to share,"their opinions in the comments section, regardless of agreement or disagreement.","The author encourages readers to share their opinions in the comments section, regardless of agreement or disagreement.",601
A 22-year-old man,presents with,4 months of fatigue.,A 22-year-old man,presents with,4 months of fatigue.,A 22-year-old man presents with 4 months of fatigue.,602
The man,reports,"poor sleep, including difficulty falling asleep and middle insomnia.",The man,reports,"poor sleep, including difficulty falling asleep and middle insomnia.","The man reports poor sleep, including difficulty falling asleep and middle insomnia.",603
The man,experiences,increased irritability and decreased interest in work and family activities.,The man,experiences,increased irritability and decreased interest in work and family activities.,The man experiences increased irritability and decreased interest in work and family activities.,604
The man,admits to feeling,mildly depressed.,The man,admits to feeling,mildly depressed.,The man admits to feeling mildly depressed.,605
The man's Patient Health Questionnaire 9 (PHQ-9) score,is,21.,The man's Patient Health Questionnaire 9 (PHQ-9) score,is,21.,The man's Patient Health Questionnaire 9 (PHQ-9) score is 21.,606
The PHQ-9 score,suggests,moderate to severe depression.,The PHQ-9 score,suggests,moderate to severe depression.,The PHQ-9 score suggests moderate to severe depression.,607
The man,has,no suicidal ideation.,The man,has,no suicidal ideation.,The man has no suicidal ideation.,608
The patient,experienced,similar symptoms in the first year of college.,The patient,experienced,similar symptoms in the first year of college.,The patient experienced similar symptoms in the first year of college.,609
The patient,was treated with,fluoxetine for these symptoms.,The patient,was treated with,fluoxetine for these symptoms.,The patient was treated with fluoxetine for these symptoms.,610
Fluoxetine,was discontinued,after 4 months due to ineffectiveness.,Fluoxetine,was discontinued,after 4 months due to ineffectiveness.,Fluoxetine was discontinued after 4 months due to ineffectiveness.,611
The patient,underwent counseling following,the discontinuation of fluoxetine.,The patient,underwent counseling following,the discontinuation of fluoxetine.,The patient underwent counseling following the discontinuation of fluoxetine.,612
The patient,made improvements to,"diet, sleep, and exercise habits.",The patient,made improvements to,"diet, sleep, and exercise habits.","The patient made improvements to diet, sleep, and exercise habits.",613
These lifestyle changes,led to,an improvement in the patient's symptoms.,These lifestyle changes,led to,an improvement in the patient's symptoms.,These lifestyle changes led to an improvement in the patient's symptoms.,614
The patient,currently has,no chronic illnesses.,The patient,currently has,no chronic illnesses.,The patient currently has no chronic illnesses.,615
The patient,is,not on any medications at present.,The patient,is,not on any medications at present.,The patient is not on any medications at present.,616
The patient,denies experiencing,mental health symptoms other than stress.,The patient,denies experiencing,mental health symptoms other than stress.,The patient denies experiencing mental health symptoms other than stress.,617
The patient,acknowledges experiencing,significant stress without identifiable causes.,The patient,acknowledges experiencing,significant stress without identifiable causes.,The patient acknowledges experiencing significant stress without identifiable causes.,618
The patient,ceased using,alcohol and marijuana several years prior.,The patient,ceased using,alcohol and marijuana several years prior.,The patient ceased using alcohol and marijuana several years prior.,619
The patient,has no history of using substances,other than alcohol and marijuana.,The patient,has no history of using substances,other than alcohol and marijuana.,The patient has no history of using substances other than alcohol and marijuana.,620
The patient,resides,alone.,The patient,resides,alone.,The patient resides alone.,621
The patient,is employed,at a bank.,The patient,is employed,at a bank.,The patient is employed at a bank.,622
You,inform,the patient that major depressive disorder is the primary consideration in the differential diagnosis.,You,inform,the patient that major depressive disorder is the primary consideration in the differential diagnosis.,You inform the patient that major depressive disorder is the primary consideration in the differential diagnosis.,623
